2024/09/12 16:58:18.363 => OpenSerial: Com=4 BaudRate=256000, Success=1
2024/09/12 16:58:18.369 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) Success
2024/09/12 16:58:18.369 => protocol version = 1, send_recv buffer size = 64
2024/09/12 16:58:18.520 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) Success
2024/09/12 16:58:18.520 => protocol version = 1, send_recv buffer size = 64
2024/09/12 16:58:18.525 => CRadarProtocolDevice::UpdateVersion: CMDID(0x0000) Success
2024/09/12 16:58:18.525 => GetVersion Return: v1.4.4_32772.0
2024/09/12 16:58:29.960 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) Success
2024/09/12 16:58:29.960 => protocol version = 1, send_recv buffer size = 64
2024/09/12 16:58:30.120 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) Success
2024/09/12 16:58:30.120 => protocol version = 1, send_recv buffer size = 64
2024/09/12 16:58:30.663 => CRadarProtocolDevice::SendCommand: CMDID(0x0062) Success
2024/09/12 16:58:30.668 => CRadarProtocolDevice::CloseCmdMode: CMDID(0x00FE) Success
2024/09/12 16:58:30.673 => thread create success, thread handle=0x00000668, id=3160, name=ABDData
2024/09/12 16:58:30.673 => thread information, name=ABDData, tid=3160(0x00000c58)
2024/09/12 16:58:44.094 => State=3, M_D=030, M_S=100, ML_D=224, ML_S=100, R_D=062
2024/09/12 16:58:44.195 => State=3, M_D=030, M_S=100, ML_D=224, ML_S=100, R_D=056
2024/09/12 16:58:44.295 => State=3, M_D=030, M_S=100, ML_D=224, ML_S=100, R_D=050
2024/09/12 16:58:44.394 => State=3, M_D=030, M_S=100, ML_D=223, ML_S=100, R_D=045
2024/09/12 16:58:44.494 => State=3, M_D=030, M_S=100, ML_D=223, ML_S=100, R_D=041
2024/09/12 16:58:44.595 => State=3, M_D=030, M_S=100, ML_D=223, ML_S=100, R_D=037
2024/09/12 16:58:44.695 => State=3, M_D=030, M_S=100, ML_D=223, ML_S=100, R_D=034
2024/09/12 16:58:44.794 => State=3, M_D=030, M_S=100, ML_D=223, ML_S=100, R_D=031
2024/09/12 16:58:44.895 => State=3, M_D=030, M_S=100, ML_D=223, ML_S=100, R_D=000
2024/09/12 16:58:44.995 => State=3, M_D=030, M_S=100, ML_D=223, ML_S=100, R_D=000
2024/09/12 16:58:45.094 => State=3, M_D=030, M_S=100, ML_D=223, ML_S=100, R_D=000
2024/09/12 16:58:45.194 => State=3, M_D=030, M_S=100, ML_D=222, ML_S=100, R_D=000
2024/09/12 16:58:45.295 => State=3, M_D=030, M_S=100, ML_D=221, ML_S=100, R_D=000
2024/09/12 16:58:45.394 => State=3, M_D=030, M_S=100, ML_D=220, ML_S=100, R_D=000
2024/09/12 16:58:45.494 => State=3, M_D=030, M_S=100, ML_D=219, ML_S=100, R_D=000
2024/09/12 16:58:45.595 => State=3, M_D=030, M_S=100, ML_D=219, ML_S=100, R_D=000
2024/09/12 16:58:45.695 => State=3, M_D=030, M_S=100, ML_D=218, ML_S=100, R_D=000
2024/09/12 16:58:45.794 => State=3, M_D=030, M_S=100, ML_D=216, ML_S=100, R_D=000
2024/09/12 16:58:45.895 => State=3, M_D=030, M_S=100, ML_D=212, ML_S=100, R_D=000
2024/09/12 16:58:45.994 => State=3, M_D=030, M_S=100, ML_D=209, ML_S=100, R_D=000
2024/09/12 16:58:46.095 => State=3, M_D=030, M_S=100, ML_D=208, ML_S=100, R_D=000
2024/09/12 16:58:46.195 => State=3, M_D=030, M_S=100, ML_D=206, ML_S=100, R_D=000
2024/09/12 16:58:46.294 => State=3, M_D=030, M_S=100, ML_D=202, ML_S=100, R_D=000
2024/09/12 16:58:46.394 => State=3, M_D=042, M_S=100, ML_D=198, ML_S=100, R_D=000
2024/09/12 16:58:46.494 => State=3, M_D=030, M_S=100, ML_D=196, ML_S=100, R_D=000
2024/09/12 16:58:46.594 => State=3, M_D=030, M_S=100, ML_D=191, ML_S=100, R_D=000
2024/09/12 16:58:46.694 => State=3, M_D=040, M_S=100, ML_D=030, ML_S=100, R_D=000
2024/09/12 16:58:46.794 => State=3, M_D=030, M_S=100, ML_D=040, ML_S=100, R_D=000
2024/09/12 16:58:46.895 => State=3, M_D=041, M_S=100, ML_D=030, ML_S=100, R_D=000
2024/09/12 16:58:46.995 => State=3, M_D=030, M_S=100, ML_D=041, ML_S=100, R_D=000
2024/09/12 16:58:47.095 => State=3, M_D=030, M_S=100, ML_D=030, ML_S=100, R_D=000
2024/09/12 16:58:47.195 => State=3, M_D=030, M_S=100, ML_D=030, ML_S=100, R_D=000
2024/09/12 16:58:47.295 => State=3, M_D=030, M_S=100, ML_D=030, ML_S=100, R_D=000
2024/09/12 16:58:47.395 => State=3, M_D=030, M_S=100, ML_D=030, ML_S=100, R_D=000
2024/09/12 16:58:47.495 => State=3, M_D=051, M_S=100, ML_D=030, ML_S=100, R_D=000
2024/09/12 16:58:47.595 => State=3, M_D=038, M_S=100, ML_D=051, ML_S=100, R_D=000
2024/09/12 16:58:47.695 => State=3, M_D=045, M_S=100, ML_D=038, ML_S=100, R_D=000
2024/09/12 16:58:47.795 => State=3, M_D=030, M_S=100, ML_D=045, ML_S=100, R_D=000
2024/09/12 16:58:47.895 => State=3, M_D=063, M_S=100, ML_D=030, ML_S=100, R_D=000
2024/09/12 16:58:47.995 => State=3, M_D=073, M_S=100, ML_D=063, ML_S=100, R_D=000
2024/09/12 16:58:48.095 => State=3, M_D=071, M_S=100, ML_D=073, ML_S=100, R_D=000
2024/09/12 16:58:48.194 => State=3, M_D=030, M_S=100, ML_D=071, ML_S=100, R_D=000
2024/09/12 16:58:48.295 => State=3, M_D=030, M_S=100, ML_D=030, ML_S=100, R_D=000
2024/09/12 16:58:48.394 => State=3, M_D=030, M_S=100, ML_D=030, ML_S=100, R_D=000
2024/09/12 16:58:48.494 => State=3, M_D=062, M_S=100, ML_D=030, ML_S=100, R_D=000
2024/09/12 16:58:48.595 => State=3, M_D=066, M_S=100, ML_D=062, ML_S=100, R_D=000
2024/09/12 16:58:48.695 => State=3, M_D=030, M_S=100, ML_D=066, ML_S=100, R_D=000
2024/09/12 16:58:48.795 => State=3, M_D=030, M_S=100, ML_D=030, ML_S=100, R_D=000
2024/09/12 16:58:48.895 => State=3, M_D=030, M_S=100, ML_D=030, ML_S=100, R_D=000
2024/09/12 16:58:48.995 => State=3, M_D=065, M_S=100, ML_D=030, ML_S=100, R_D=000
2024/09/12 16:58:49.095 => State=3, M_D=071, M_S=100, ML_D=065, ML_S=100, R_D=000
2024/09/12 16:58:49.195 => State=3, M_D=076, M_S=100, ML_D=071, ML_S=100, R_D=033
2024/09/12 16:58:49.295 => State=3, M_D=080, M_S=100, ML_D=076, ML_S=100, R_D=037
2024/09/12 16:58:49.396 => State=3, M_D=057, M_S=100, ML_D=080, ML_S=100, R_D=038
2024/09/12 16:58:49.495 => State=3, M_D=030, M_S=100, ML_D=057, ML_S=100, R_D=035
2024/09/12 16:58:49.594 => State=3, M_D=030, M_S=100, ML_D=030, ML_S=100, R_D=032
2024/09/12 16:58:49.695 => State=3, M_D=056, M_S=100, ML_D=030, ML_S=100, R_D=033
2024/09/12 16:58:49.795 => State=3, M_D=030, M_S=100, ML_D=056, ML_S=100, R_D=030
2024/09/12 16:58:49.894 => State=3, M_D=062, M_S=100, ML_D=030, ML_S=100, R_D=032
2024/09/12 16:58:49.995 => State=3, M_D=030, M_S=100, ML_D=062, ML_S=100, R_D=000
2024/09/12 16:58:50.095 => State=3, M_D=030, M_S=100, ML_D=030, ML_S=100, R_D=000
2024/09/12 16:58:50.194 => State=3, M_D=030, M_S=100, ML_D=030, ML_S=100, R_D=000
2024/09/12 16:58:50.295 => State=3, M_D=030, M_S=100, ML_D=030, ML_S=100, R_D=000
2024/09/12 16:58:50.395 => State=3, M_D=030, M_S=100, ML_D=030, ML_S=100, R_D=000
2024/09/12 16:58:50.495 => State=3, M_D=030, M_S=100, ML_D=030, ML_S=100, R_D=000
2024/09/12 16:58:50.595 => State=3, M_D=030, M_S=100, ML_D=030, ML_S=100, R_D=000
2024/09/12 16:58:50.694 => State=3, M_D=072, M_S=100, ML_D=030, ML_S=100, R_D=000
2024/09/12 16:58:50.794 => State=3, M_D=073, M_S=100, ML_D=072, ML_S=100, R_D=000
2024/09/12 16:58:50.894 => State=3, M_D=077, M_S=100, ML_D=073, ML_S=100, R_D=032
2024/09/12 16:58:50.995 => State=3, M_D=097, M_S=100, ML_D=077, ML_S=100, R_D=038
2024/09/12 16:58:51.094 => State=3, M_D=142, M_S=100, ML_D=097, ML_S=100, R_D=049
